Paragraph
More than 75 million people have already voted as the candidates target battleground states ahead of polling day.
"Polls suggest the race is deadlocked - but if one candidate pulls away, these factors could explain why."
"Maia Sandu said she would be president for all, after a run-off against a rival backed by a pro-Russian party."
"Speaking in Nigeria, the UK foreign secretary said he wanted Britain to develop relations with Africa."
Officials said 44 people were on board when the bus went out of control and fell into a ditch.
"Polls suggest the race is deadlocked - but if one candidate pulls away, these factors could explain why."
"In the Lebanese city of Nabatieh, Orla Guerin meets hospital patients and medics vowing to stay despite Israeli strikes."
"Jones was best known as the producer of three Michael Jackson albums - Off the Wall, Thriller and Bad."
Teams are searching sites including a shopping centre car park for missing people.
"Maia Sandu said she would be president for all, after a run-off against a rival backed by a pro-Russian party."
An in-depth look at the polls and what they can and can’t tell us about who will win the election.
"Once polls close on Tuesday, a winner may not be projected for several hours, days or even weeks."
An in-depth look at how both candidates could win the election - and the clues that polling trends and history might offer.
Trying to understand it for the first time or need a refresher? This guide can help.
"Economy, immigration, abortion and other top issues - here is where the two candidates stand."
The BBC speaks again to a group who have struggled to pick between Kamala Harris and Donald Trump.
"A talent agent who supplied actors to shows on the BBC and Netflix withheld cash due to them, former clients claim."
A growing global movement is seeing people object to data centres in their locality.
Hundreds of artefacts were looted from Nepal as it opened up from the 1960s to the 1980s.
"The cigarette is having a resurgence in pop culture and smoking is being glamorised in film, TV and music."
"A talent agent who supplied actors to shows on the BBC and Netflix withheld cash due to them, former clients claim."
India has approved 227bn rupees ($2.7bn) for new space projects - but the funding is far from lavish.
"Crowdsourced voter fraud claims and fake videos are flooding social media, as the contest remains on a knife-edge."
A growing global movement is seeing people object to data centres in their locality.
"In an interview with BBC Newsnight in 2016, the legendary musician spoke about growing up in Chicago and his friendship with celebrities."
The rapper and Toronto Raptors fan has taken aim at one of his team's former All-Stars. But why?
"BBC News NI's Chris Buckler talks to voters in Wilmington, Delaware, as Biden's presidency comes to an end."
How is the battle for votes  unfolding over different social media feeds this US election?
"From 'fruitless' dating to financial pressures, people share their views on falling fertility rates."
The rapper and Toronto Raptors fan has taken aim at one of his team's former All-Stars. But why?
"Spain's King Felipe VI is visiting the Valencia region, which has been hit by unprecedented floods."
"Conservatives says Peanut is a victim of government overreach, but officials say they acted on rabies concerns."
"BBC News NI's Chris Buckler talks to voters in Wilmington, Delaware, as Biden's presidency comes to an end."
Reaction to the weekend's Premier League games as Man Utd and Chelsea draw plus all the latest football news.
The scale of the task awaiting new Manchester United manager Ruben Amorim is made clear in the draw with Chelsea
"Despite missing out on the 2024 Ballon d'Or, fans of Vinicius Jr believe it is only ever going to be a matter of when, not if."
"The Detroit Lions claim a sixth straight win, while Derrick Henry and Lamar Jackson shine for the Baltimore Ravens."
Luka Doncic dominates with 32 points in 32 minutes as the Dallas Mavericks ease past the Orlando Magic.
The scale of the task awaiting new Manchester United manager Ruben Amorim is made clear in the draw with Chelsea
Lando Norris’ already slim world title hopes were crushed at the Sao Paulo Grand Prix by a performance for the ages from Max Verstappen.
Jose Mourinho condemns refereeing standards in Turkey as his Fenerbahce side score deep into stoppage time to beat Trabzonspor.
"Despite missing out on the 2024 Ballon d'Or, fans of Vinicius Jr believe it is only ever going to be a matter of when, not if."
Copyright 2024 BBC. All rights reserved.  The BBC is not responsible for the content of external sites. Read about our approach to external linking.
""
